,Region_I,Region_J,q(m3/h)
0,1,2,2029248.0000000002
1,2,3,2029248.0000000002
2,3,4,2029248.0000000002
3,4,5,2029248.0000000002
4,5,6,2029248.0000000002
5,6,7,2029248.0000000002
6,7,8,2029248.0000000002
7,8,9,2029248.0000000002
8,9,10,2029248.0000000002
9,10,11,2029248.0000000002
10,11,12,2029248.0000000002
11,12,13,2029248.0000000002
12,13,14,2029248.0000000002
13,14,15,2029248.0000000002
14,15,16,2029248.0000000002
15,16,17,2029248.0000000002
16,17,18,2029248.0000000002
17,18,19,2029248.0000000002
18,19,20,2029248.0000000002
19,20,nan,2029248.0000000002
